,coin,market_cap,tw_followers,date
0,axie-infinity,7747161999,587129,2021-10-16
1,axie-infinity,7688798676,591490,2021-10-17
2,axie-infinity,7614781901,594701,2021-10-18
3,axie-infinity,7514685484,597264,2021-10-19
4,axie-infinity,7477705738,602358,2021-10-20
5,axie-infinity,7837548340,604653,2021-10-21
6,axie-infinity,7392607361,606536,2021-10-22
7,axie-infinity,7878398412,608980,2021-10-23
8,axie-infinity,7714963309,611186,2021-10-24
9,axie-infinity,7522841001,613414,2021-10-25
10,axie-infinity,8136637249,615888,2021-10-26
11,axie-infinity,7910701915,618306,2021-10-27
12,axie-infinity,7522641187,621625,2021-10-28
13,axie-infinity,7740582159,626121,2021-10-29
14,axie-infinity,8703817160,628710,2021-10-30
15,axie-infinity,8961656909,0,2021-10-31
16,axie-infinity,8460828927,634128,2021-11-01
17,axie-infinity,8388782829,636790,2021-11-02
18,axie-infinity,8579412684,639571,2021-11-03
19,axie-infinity,8943596325,642231,2021-11-04
20,axie-infinity,9370284354,653631,2021-11-05
21,axie-infinity,9886865833,657812,2021-11-06
22,axie-infinity,10222805641,660812,2021-11-07
23,axie-infinity,10485977643,0,2021-11-08
24,axie-infinity,10052208134,667618,2021-11-09
25,axie-infinity,9873640581,671957,2021-11-10
26,axie-infinity,9293219428,676296,2021-11-11
27,axie-infinity,9620168951,0,2021-11-12
28,axie-infinity,9408113334,681218,2021-11-13
29,axie-infinity,9409405660,683415,2021-11-14
30,axie-infinity,9259749063,683415,2021-11-14
31,enjincoin,1504087980,312175,2021-10-16
32,enjincoin,1619947876,312847,2021-10-17
33,enjincoin,1527432093,313510,2021-10-18
34,enjincoin,1512277617,313872,2021-10-19
35,enjincoin,1505205017,314602,2021-10-20
36,enjincoin,1721419031,315376,2021-10-21
37,enjincoin,1681552211,316046,2021-10-22
38,enjincoin,1717993724,317367,2021-10-23
39,enjincoin,1720561414,318086,2021-10-24
40,enjincoin,1662809448,318612,2021-10-25
41,enjincoin,1789904650,0,2021-10-26
42,enjincoin,1894546782,319951,2021-10-27
43,enjincoin,1965392676,320741,2021-10-28
44,enjincoin,2156435282,321894,2021-10-29
45,enjincoin,2268364896,323306,2021-10-30
46,enjincoin,2866965424,0,2021-10-31
47,enjincoin,2398019969,328484,2021-11-01
48,enjincoin,2407539116,330349,2021-11-02
49,enjincoin,2926542908,332269,2021-11-03
50,enjincoin,2682568881,334225,2021-11-04
51,enjincoin,2759419105,338658,2021-11-05
52,enjincoin,2781786372,340861,2021-11-06
53,enjincoin,3215501718,343237,2021-11-07
54,enjincoin,3106999879,0,2021-11-08
55,enjincoin,2992884864,346883,2021-11-09
56,enjincoin,2788488587,348479,2021-11-10
57,enjincoin,2621668276,350050,2021-11-11
58,enjincoin,2787248812,0,2021-11-12
59,enjincoin,2870501681,353842,2021-11-13
60,enjincoin,2865826310,355349,2021-11-14
61,enjincoin,2787504660,355349,2021-11-14
62,the-sandbox,664199247,212724,2021-10-16
63,the-sandbox,672466907,213456,2021-10-17
64,the-sandbox,652161501,214108,2021-10-18
65,the-sandbox,649896166,214774,2021-10-19
66,the-sandbox,654246550,0,2021-10-20
67,the-sandbox,697285600,216074,2021-10-21
68,the-sandbox,676516748,0,2021-10-22
69,the-sandbox,683292184,217461,2021-10-23
70,the-sandbox,683528411,218106,2021-10-24
