,coin,market_cap,tw_followers,date
0,binancecoin,79058266963,5391,2021-10-18
1,binancecoin,81885592095,5404,2021-10-19
2,binancecoin,82011979459,5418,2021-10-20
3,binancecoin,84745122606,5433,2021-10-21
4,binancecoin,79624573356,5450,2021-10-22
5,binancecoin,80952725832,5465,2021-10-23
6,binancecoin,81934945154,5481,2021-10-24
7,binancecoin,80199757017,5499,2021-10-25
8,binancecoin,81913681359,5516,2021-10-26
9,binancecoin,80677268288,5529,2021-10-27
10,binancecoin,75903656465,5550,2021-10-28
11,binancecoin,82561621362,5568,2021-10-29
12,binancecoin,88860227505,5590,2021-10-30
13,binancecoin,88364902395,5610,2021-10-31
14,binancecoin,88397508686,5629,2021-11-01
15,binancecoin,92000730617,5660,2021-11-02
16,binancecoin,93300469526,5685,2021-11-03
17,binancecoin,95580886279,5710,2021-11-04
18,binancecoin,93684809790,5737,2021-11-05
19,binancecoin,102239350031,5762,2021-11-06
20,binancecoin,106678784796,5787,2021-11-07
21,binancecoin,109351224513,5818,2021-11-08
22,binancecoin,110441230385,5844,2021-11-09
23,binancecoin,107121024764,5873,2021-11-10
24,binancecoin,102244405701,5900,2021-11-11
25,binancecoin,106206623233,5926,2021-11-12
26,binancecoin,105472491968,5951,2021-11-13
27,binancecoin,109752105406,5974,2021-11-14
28,binancecoin,109344591546,5999,2021-11-15
29,binancecoin,107179034486,6023,2021-11-16
30,binancecoin,99556170880,6023,2021-11-16
31,binance-usd,13033038802,25705,2021-10-18
32,binance-usd,13124786886,25723,2021-10-19
33,binance-usd,13122406302,25866,2021-10-20
34,binance-usd,13275234771,25963,2021-10-21
35,binance-usd,12961931922,26016,2021-10-22
36,binance-usd,12914873201,26042,2021-10-23
37,binance-usd,12940036388,26066,2021-10-24
38,binance-usd,12908345863,26100,2021-10-25
39,binance-usd,12917762924,26125,2021-10-26
40,binance-usd,12809567714,26067,2021-10-27
41,binance-usd,12810147449,26099,2021-10-28
42,binance-usd,13042212324,26121,2021-10-29
43,binance-usd,13221432750,26148,2021-10-30
44,binance-usd,13430480538,26167,2021-10-31
45,binance-usd,13629781135,26198,2021-11-01
46,binance-usd,13744258192,26214,2021-11-02
47,binance-usd,14237875628,26242,2021-11-03
48,binance-usd,14219255846,26262,2021-11-04
49,binance-usd,14061816641,26281,2021-11-05
50,binance-usd,13888867581,26315,2021-11-06
51,binance-usd,13536830542,26333,2021-11-07
52,binance-usd,13655840489,26376,2021-11-08
53,binance-usd,13626438450,26434,2021-11-09
54,binance-usd,13447120917,26470,2021-11-10
55,binance-usd,13030275120,26501,2021-11-11
56,binance-usd,12888540156,26522,2021-11-12
57,binance-usd,12696435458,26566,2021-11-13
58,binance-usd,12755960927,26604,2021-11-14
59,binance-usd,12787979237,26626,2021-11-15
60,binance-usd,12851390026,0,2021-11-16
61,binance-usd,12909341276,0,2021-11-16
62,the-graph,3855353324,0,2021-10-18
63,the-graph,3797559208,151846,2021-10-19
64,the-graph,3865917582,152347,2021-10-20
65,the-graph,4355463121,152789,2021-10-21
66,the-graph,4656738410,0,2021-10-22
67,the-graph,4494179314,153510,2021-10-23
68,the-graph,4404299971,153759,2021-10-24
69,the-graph,4667415359,0,2021-10-25
70,the-graph,5144590673,0,2021-10-26
71,the-graph,5365041205,155366,2021-10-27
72,the-graph,4643858114,155739,2021-10-28
73,the-graph,4667975015,156098,2021-10-29
74,the-graph,4833061048,156389,2021-10-30
75,the-graph,4549635897,156743,2021-10-31
76,the-graph,5133298178,157225,2021-11-01
77,the-graph,4931988044,157888,2021-11-02
78,the-graph,4883634243,158503,2021-11-03
79,the-graph,4918654258,159063,2021-11-04
80,the-graph,5145911117,0,2021-11-05
81,the-graph,5318132422,160563,2021-11-06
82,the-graph,5270899019,0,2021-11-07
83,the-graph,5471326854,0,2021-11-08
84,the-graph,5567399408,162491,2021-11-09
85,the-graph,6046696211,163561,2021-11-10
86,the-graph,5378114592,164183,2021-11-11
87,the-graph,5524497293,0,2021-11-12
88,the-graph,5322434951,0,2021-11-13
89,the-graph,5465937174,165776,2021-11-14
90,the-graph,5305192015,166259,2021-11-15
91,the-graph,5112948029,166619,2021-11-16
92,the-graph,4707527529,166619,2021-11-16
93,pancakeswap-token,4530304877,1100,2021-10-18
94,pancakeswap-token,4622677409,1100,2021-10-19
95,pancakeswap-token,4676752417,1101,2021-10-20
96,pancakeswap-token,4797916410,1101,2021-10-21
97,pancakeswap-token,4669044998,1103,2021-10-22
98,pancakeswap-token,4654173347,1105,2021-10-23
99,pancakeswap-token,4692557270,1108,2021-10-24
100,pancakeswap-token,4612535781,1111,2021-10-25
101,pancakeswap-token,4706715333,1114,2021-10-26
102,pancakeswap-token,4586718115,1116,2021-10-27
103,pancakeswap-token,4285297900,1119,2021-10-28
104,pancakeswap-token,4310358620,1123,2021-10-29
105,pancakeswap-token,4417854635,1126,2021-10-30
106,pancakeswap-token,4265376571,1130,2021-10-31
107,pancakeswap-token,4209653071,1134,2021-11-01
108,pancakeswap-token,4365651576,1139,2021-11-02
109,pancakeswap-token,4413899177,1143,2021-11-03
110,pancakeswap-token,4504345483,1148,2021-11-04
111,pancakeswap-token,4489557221,1152,2021-11-05
112,pancakeswap-token,4666758205,1157,2021-11-06
113,pancakeswap-token,4607460831,1162,2021-11-07
114,pancakeswap-token,4850542613,1167,2021-11-08
115,pancakeswap-token,4837098036,1172,2021-11-09
116,pancakeswap-token,4756867238,1178,2021-11-10
117,pancakeswap-token,4402285330,1182,2021-11-11
118,pancakeswap-token,4562624245,1187,2021-11-12
119,pancakeswap-token,4422020435,1192,2021-11-13
120,pancakeswap-token,4483565018,1197,2021-11-14
121,pancakeswap-token,4426518743,1202,2021-11-15
122,pancakeswap-token,4612024692,1207,2021-11-16
123,pancakeswap-token,4208074665,1207,2021-11-16
124,ontology,821423693,0,2021-10-18
125,ontology,801611174,164303,2021-10-19
126,ontology,807700441,164732,2021-10-20
127,ontology,846211931,165040,2021-10-21
128,ontology,846692907,0,2021-10-22
129,ontology,856550157,0,2021-10-23
130,ontology,843236597,166603,2021-10-24
131,ontology,827826851,0,2021-10-25
132,ontology,850897910,0,2021-10-26
133,ontology,846575379,168624,2021-10-27
134,ontology,747235010,169886,2021-10-28
135,ontology,780147692,170333,2021-10-29
136,ontology,808936649,0,2021-10-30
137,ontology,860367053,170806,2021-10-31
138,ontology,911770406,0,2021-11-01
139,ontology,898061523,171428,2021-11-02
140,ontology,901308349,171694,2021-11-03
141,ontology,940888990,171935,2021-11-04
142,ontology,968405334,0,2021-11-05
143,ontology,996889114,0,2021-11-06
144,ontology,935734923,0,2021-11-07
145,ontology,937685469,0,2021-11-08
146,ontology,949245314,173095,2021-11-09
147,ontology,1039565647,173423,2021-11-10
148,ontology,930275618,173614,2021-11-11
149,ontology,937245217,0,2021-11-12
150,ontology,912294644,0,2021-11-13
151,ontology,945245264,175760,2021-11-14
152,ontology,971270627,176009,2021-11-15
153,ontology,932734764,176180,2021-11-16
154,ontology,882449864,176180,2021-11-16
155,1inch,637422307,278567,2021-10-18
156,1inch,624923523,278820,2021-10-19
157,1inch,678193856,279479,2021-10-20
158,1inch,761896541,280242,2021-10-21
159,1inch,750180444,280850,2021-10-22
160,1inch,731273075,281328,2021-10-23
161,1inch,725011829,281956,2021-10-24
162,1inch,691808863,282586,2021-10-25
163,1inch,732558368,0,2021-10-26
